user_id,assigned_segment
23557,Cluster 3
94883,Cluster 1
101486,Cluster 1
101961,Cluster 2
106907,Cluster 5
118043,Cluster 2
120851,Cluster 1
125845,Cluster 2
133058,Cluster 1
149058,Cluster 2
152583,Cluster 1
153982,Cluster 2
160754,Cluster 1
164522,Cluster 1
167852,Cluster 1
171470,Cluster 5
174997,Cluster 5
175032,Cluster 2
181157,Cluster 2
182191,Cluster 5
187212,Cluster 2
189676,Cluster 1
190866,Cluster 2
195192,Cluster 1
204943,Cluster 5
204997,Cluster 5
205044,Cluster 2
206011,Cluster 3
216796,Cluster 4
217114,Cluster 1
217136,Cluster 1
220725,Cluster 5
224996,Cluster 1
226367,Cluster 2
228195,Cluster 1
228872,Cluster 1
229009,Cluster 5
229108,Cluster 5
229330,Cluster 2
232647,Cluster 1
249521,Cluster 1
252835,Cluster 2
258451,Cluster 5
264470,Cluster 1
276512,Cluster 1
281952,Cluster 3
283325,Cluster 1
290123,Cluster 2
297546,Cluster 2
298253,Cluster 1
299476,Cluster 1
306165,Cluster 1
306819,Cluster 5
312488,Cluster 3
313724,Cluster 5
316527,Cluster 2
317688,Cluster 2
322867,Cluster 1
324191,Cluster 3
328590,Cluster 5
330764,Cluster 5
330893,Cluster 2
331039,Cluster 5
334787,Cluster 2
337227,Cluster 1
338086,Cluster 3
340166,Cluster 1
343928,Cluster 4
347778,Cluster 2
348817,Cluster 2
348863,Cluster 1
349132,Cluster 2
350648,Cluster 5
353271,Cluster 1
353694,Cluster 1
354050,Cluster 2
354260,Cluster 1
354311,Cluster 1
354950,Cluster 1
356046,Cluster 1
357737,Cluster 5
359072,Cluster 5
359080,Cluster 3
359653,Cluster 1
361459,Cluster 1
361759,Cluster 2
363535,Cluster 5
365825,Cluster 5
371201,Cluster 1
372970,Cluster 3
373489,Cluster 4
374331,Cluster 5
374340,Cluster 1
374341,Cluster 1
375160,Cluster 1
375729,Cluster 2
375751,Cluster 2
376159,Cluster 1
377069,Cluster 5
377411,Cluster 3
378565,Cluster 2
379543,Cluster 2
380434,Cluster 2
380436,Cluster 3
380757,Cluster 2
380874,Cluster 3
380949,Cluster 5
381259,Cluster 1
381465,Cluster 5
382181,Cluster 2
382384,Cluster 1
382533,Cluster 1
385689,Cluster 2
386255,Cluster 1
386469,Cluster 1
386914,Cluster 5
387282,Cluster 1
387783,Cluster 1
388328,Cluster 2
388767,Cluster 1
